feature_name,feature_type,country,population,latitude,longitude
Changchun,City,China,3183000,43.8669544,125.3380415
Casablanca,City,Morocco,3181000,33.6019221,-7.6183133
Dalian,City,China,3167000,38.9247843,121.627885
Kanpur,City,India,3162000,26.4619445,80.3180504
Kano,City,Nigeria,3140000,12.0019227,8.5180919
Tel Aviv,City,Israel,3112000,32.0819373,34.7680659
Addis Ababa,City,Ethiopia,3100000,9.0352562,38.6980586
Curitiba,City,Brazil,3084000,-25.4180671,-49.3219435
Seattle,City,United States of America,3074000,47.600423319460475,-122.31532231603904
Zibo,City,China,3061000,36.82136457648037,117.9964595757144
Jeddah,City,Saudi Arabia,3012000,21.5188353,39.2172517
Irvine,City,United States of America,3010232,33.6804106,-117.8299502
Nairobi,City,Kenya,3010000,-1.2814009,36.814711
Hangzhou,City,China,3007000,30.2519198,120.1680728
Benoni,City,South Africa,2986000,-26.147635,28.3279939
Caracas,City,Venezuela,2985000,10.5029444,-66.9189831
Milan,City,Italy,2945000,45.4719211,9.2030631
Stuttgart,City,Germany,2944700,48.7799799,9.1999963
Kunming,City,China,2931000,25.042859073104868,102.69743977228744
Dar es Salaam,City,Tanzania,2930000,-6.7980667,39.266396
Jaipur,City,India,2917000,26.9230791,75.8080415
San Diego,City,United States of America,2916000,32.71891385421138,-117.15088145402623
Taiyuan,City,China,2913000,37.8769583,112.5431119
Frankfurt,City,Germany,2895000,50.0999768,8.6750154
Qingdao,City,China,2866000,36.0919251,120.3280631
Surabaya,City,Indonesia,2845000,-7.24729,112.7488874
Lisbon,City,Portugal,2812000,38.7246687,-9.1468122
Jinan,City,China,2798000,36.6769282,116.9930728
Fukuoka,City,Japan,2792000,33.5969611,130.4080679
Campinas,City,Brazil,2791000,-22.90789786605005,-47.05588541861934
Kaohsiung,City,Taiwan,2769072,22.6333071,120.2666019
Quezon City,City,Philippines,2761720,14.6504352,121.0299662
Katowice,City,Poland,2746000,50.2603805,19.020017
Aleppo,City,Syria,2738000,36.2319166,37.1680744
Durban,City,South Africa,2729000,-29.86066234118211,31.01094366326237
Kyiv,City,Ukraine,2709000,50.4353132,30.5146821
Lucknow,City,India,2695000,26.8569849,80.9130529
Giza,City,Egypt,2681863,30.0099886,31.1900236
Zhengzhou,City,China,2636000,34.756942,113.6631469
Taichung,City,Taiwan,2629323,24.1520775,120.681667
Ibadan,City,Nigeria,2628000,7.3819721,3.9280362
Faisalabad,City,Pakistan,2617000,31.4119266,73.1080513
Minneapolis,City,United States of America,2616000,44.9819251,-93.2537322
Fuzhou,City,China,2606000,26.0819418,119.2981001
Dakar,City,Senegal,2604000,14.7177776,-17.475076
Changsha,City,China,2604000,28.2019158,112.9680472
İzmir,City,Turkey,2587000,38.4380955,27.1498482
Xiangtan,City,China,2586948,27.8504305,112.9000232
Lanzhou,City,China,2561000,36.0579737,103.7900544
Incheon,City,South Korea,2550000,37.4780937,126.6402876
Sapporo,City,Japan,2544000,43.0769251,141.3380985
Xiamen,City,China,2519000,24.4519379,118.0780712
Guayaquil,City,Ecuador,2514000,-2.2180879,-79.9219878
George Town,City,Malaysia,2500000,5.4136132,100.3293679
San Juan,City,Puerto Rico,2478905,18.440023,-66.1299793
Mashhad,City,Iran,2469000,36.2719658,59.5680508
Damascus,City,Syria,2466000,33.5019799,36.29805
Daegu,City,South Korea,2460000,35.8687346,128.6050255
Nagpur,City,India,2454000,21.1719056,79.088048
Jinxi,City,China,2426000,40.7522867,120.8280325
Shijiazhuang,City,China,2417000,38.0519605,114.4780325
Tunis,City,Tunisia,2412500,36.8027781,10.1796781
Vienna,City,Austria,2400000,48.2019611,16.3646931
Jilin,City,China,2396000,43.8519166,126.5480968
Omdurman,City,Sudan,2395159,15.6166811,32.4800223
Bandung,City,Indonesia,2394000,-6.9480834,107.5680667
Bekasi,City,Indonesia,2378211,-6.2172575,106.972323
Mannheim,City,Germany,2362000,49.5003752,8.470015
Nanchang,City,China,2350000,28.6819381,115.8780504
Wenzhou,City,China,2350000,28.0219268,120.6481469
Tampa,City,United States of America,2314000,27.9489338,-82.4605667
Vancouver,City,Canada,2313328,49.2753624,-123.1235901
Denver,City,United States of America,2313000,39.7411339,-104.9859618
Birmingham,City,United Kingdom,2285000,52.4769198,-1.9219426
Baltimore,City,United States of America,2255000,39.28151578641361,-76.6145820807727
Cali,City,Colombia,2254000,3.401905,-76.5019123
Sendai,City,Japan,2250000,38.2684409197744,140.86966685536837
Naples,City,Italy,2250000,40.8419711,14.2430655
Manchester,City,United Kingdom,2230000,53.47531992472453,-2.2486846671598855
St. Louis,City,United States of America,2199000,38.6369636,-90.2419264
Puebla,City,Mexico,2195000,19.032593839016364,-98.20373725542488
Tripoli,City,Libya,2189000,32.8925,13.1800118
Tashkent,City,Uzbekistan,2184000,41.30382822156198,69.26882294266261
Nanchong,City,China,2174000,30.7823784,106.1280513
Havana,City,Cuba,2174000,23.1339047,-82.366128
Nanning,City,China,2167000,22.8219341,108.3180985
Belém,City,Brazil,2167000,-1.4480574,-48.4819689
Patna,City,India,2158000,25.626905,85.1280928
Santo Domingo,City,Dominican Rep.,2154000,18.470745058048376,-69.92974231579055
Zaozhuang,City,China,2145000,34.8819473,117.5680765
Baku,City,Azerbaijan,2122300,40.3972179,49.8602713
Accra,City,Ghana,2121000,5.5519805,-0.2186616
Yantai,City,China,2116000,37.532354,121.3980753
Medan,City,Indonesia,2115000,3.5819198,98.6480944
Santa Cruz,City,Bolivia,2102998,-17.7519718,-63.2279422
Xuzhou,City,China,2091000,34.2819581,117.1780744
Linyi,City,China,2082000,35.0819351,118.3280301
Maracaibo,City,Venezuela,2072000,10.7319227,-71.6619235
Kuwait City,City,Kuwait,2063000,29.3716635,47.9763553
Dammam,City,Saudi Arabia,2054710,26.4301376,50.0977245
Haikou,City,China,2046189,20.0500023,110.3200256
Hiroshima,City,Japan,2045000,34.389781,132.4409671
Fort Lauderdale,City,United States of America,2042042,26.1360649,-80.1417855
Long Beach,City,United States of America,2036134,33.77701767314316,-118.20033735659706
Baotou,City,China,2036000,40.6541531,109.820074
Hefei,City,China,2035000,31.8519772,117.2780683
Indore,City,India,2026000,22.7170051,75.8630769
Goiânia,City,Brazil,2022000,-16.7180814,-49.3019705
Sanaa,City,Yemen,2008000,15.3566792,44.2046475
Port-au-Prince,City,Haiti,1998000,18.5429705,-72.3379804
Haiphong,City,Vietnam,1969000,20.8319522,106.6781469
Suzhou,City,China,1964000,33.638057,116.976943
Nanyang,City,China,1944000,33.0023463,112.528074
Bucharest,City,Romania,1942000,44.4353177,26.0980008
Ningbo,City,China,1923000,29.8819166,121.5480919
Douala,City,Cameroon,1906000,4.0623556,9.7080451
Cleveland,City,United States of America,1890000,41.4719327,-81.6969441
Tangshan,City,China,1879000,39.626283,118.1924311
Tainan,City,Taiwan,1876312,23.0000031,120.2000427
Portland,City,United States of America,1875000,45.5219697,-122.6819359
Datong,City,China,1873000,40.0819658,113.2980529
Asunción,City,Paraguay,1870000,-25.29067083610963,-57.62583375528301
Saidu,City,Pakistan,1860310,34.7500352,72.3499918
Brisbane,City,Australia,1860000,-27.453085,153.0331469
Rawalpindi,City,Pakistan,1858000,33.59100229452351,73.06750207299349
Beirut,City,Lebanon,1846000,33.873921,35.5077624
Pittsburgh,City,United States of America,1838000,40.4319445,-80.0019313
Las Vegas,City,United States of America,1823000,36.16476322583196,-115.15136155601854
Minsk,City,Belarus,1805000,53.9019233,27.5646813
Kyoto,City,Japan,1805000,35.0319381,135.7480521
Barranquilla,City,Colombia,1798000,10.9619345,-74.8019127
Valencia,City,Venezuela,1770000,10.2319274,-67.9819673
Shuyang,City,China,1770000,34.1298664,118.7733597
Hamburg,City,Germany,1757000,53.5519705,9.9980533
Vadodara,City,India,1756000,22.3119652,73.1780728
Manaus,City,Brazil,1753000,-3.0980859,-60.0019634
Shangqiu,City,China,1753000,34.4129416652438,115.64961002215703
Palembang,City,Indonesia,1749000,-2.9780932,104.7480838
Wuxi,City,China,1749000,31.581942,120.298039
San Bernardino,City,United States of America,1745000,34.1223296,-117.3019801
Brussels,City,Belgium,1743000,50.8352629,4.3313707
Essen,City,Germany,1742135,51.4499978,7.0166154
Bhopal,City,India,1727000,23.2519337,77.4080472
Hohhot,City,China,1726000,40.8219207,111.6580496
Luoyang,City,China,1715000,34.643770028425635,112.44447121332469
Santos,City,Brazil,1709000,-23.961835598193826,-46.32849571460007
Jianmen,City,China,1708000,30.6519988,113.1580614
Warsaw,City,Poland,1707000,52.23087197353951,21.005346737742283
Rabat,City,Morocco,1705000,34.0253073,-6.8364082
Vitória,City,Brazil,1704000,-20.332042290924733,-40.35394335476039
Quito,City,Ecuador,1701000,-0.2130423,-78.501997
Antananarivo,City,Madagascar,1697000,-18.9146915,47.514678
Coimbatore,City,India,1696000,11.0019062,76.9480753
Daqing,City,China,1693000,46.581905,124.9980622
Luan,City,China,1690000,31.7522934,116.4780655
Wanzhou,City,China,1680000,30.8199909,108.4000394
Budapest,City,Hungary,1679000,47.5019522,19.0813748
San Jose,City,United States of America,1668000,37.33094269973713,-121.88817862628899
Turin,City,Italy,1652000,45.072333,7.6680146
Suzhou,City,China,1650000,31.3024242,120.6180712
Ludhiana,City,India,1649000,30.9297079,75.8703116
Kumasi,City,Ghana,1646000,6.6919367,-1.6319603
Qiqihar,City,China,1641000,47.3469229,123.9880464
Anshan,City,China,1639000,41.1169672,122.9380846
Cincinnati,City,United States of America,1636000,39.1638306,-84.4588685
Zhongli,City,Taiwan,1632616,24.9650252,121.2167765
Handan,City,China,1631000,36.5819211,114.4780325
Taian,City,China,1629000,36.2019443,117.1181298
Isfahan,City,Iran,1628000,32.7019512,51.6980919
Yaoundé,City,Cameroon,1611000,3.8686465,11.5147049
Sacramento,City,United States of America,1604000,38.5769672,-121.4719839
Shantou,City,China,1601000,23.3719522,116.6680797
Agra,City,India,1592000,27.1723662,78.0130749
La Paz,City,Bolivia,1590000,-16.4960278,-68.151931
Zhanjiang,City,China,1590000,21.2019296,110.3780761
Kalyan,City,India,1576614,19.250232,73.1601749
Abuja,City,Nigeria,1576000,9.054620406360845,7.489505042885861
Harare,City,Zimbabwe,1572000,-17.8158438,31.0427636
Xiantao,City,China,1556000,30.3723518,113.438096
Khulna,City,Bangladesh,1553000,22.8419329,89.5580549
Tijuana,City,Mexico,1553000,32.5019634,-117.0819418
Weifang,City,China,1553000,36.702285137592035,119.15562569942898
Santiago,City,Dominican Rep.,1550753,19.50001,-70.6700122
Xinyang,City,China,1541000,32.1323219,114.0680317
Luzhou,City,China,1537000,28.8819259,105.3780712
Perth,City,Australia,1532000,-31.9530688,115.8380529
Toluca,City,Mexico,1531000,19.28930795148478,-99.65317928548968
Vishakhapatnam,City,India,1529000,17.68290316150216,83.21984846162533
Leeds,City,United Kingdom,1529000,53.790016637752316,-1.5513477114128407
Kōbe,City,Japan,1528478,34.6799878,135.1699816
Multan,City,Pakistan,1522000,30.2019229,71.4530618
Kochi,City,India,1519000,10.0169534,76.2219697
Gujranwala,City,Pakistan,1513000,32.1623717,74.1830761
Montevideo,City,Uruguay,1513000,-34.90537638970807,-56.18682337831074
Oakland,City,United States of America,1510271,37.80472502788702,-122.27803818707952
Niterói,City,Brazil,1500513,-22.88253375568974,-43.10582636571889
Ganzhou,City,China,1500000,25.9199799,114.9500272
Florence,City,Italy,1500000,43.7800008,11.2500004
Liuzhou,City,China,1497000,24.32077729521669,109.41352949573252
Conakry,City,Guinea,1494000,9.5334687,-13.6821809
Bamako,City,Mali,1494000,12.6519605,-8.001985
Bursa,City,Turkey,1492000,40.2019327,29.0680521
Virginia Beach,City,United States of America,1491000,36.8551602,-75.9802646
León,City,Mexico,1488000,21.1519327,-101.7019762
San Antonio,City,United States of America,1473000,29.419848478603353,-98.4926929920987
Nasik,City,India,1473000,20.0023646,73.7780362
Fushun,City,China,1470000,41.8673349,123.8680537
Kansas City,City,United States of America,1469000,39.1090344,-94.6060401
Changde,City,China,1469000,29.0319426,111.6781001
Daejeon,City,South Korea,1468000,36.3374915,127.4230822
Phnom Penh,City,Cambodia,1466000,11.551976,104.9146886
Neijiang,City,China,1466000,29.5823225,105.0480655
Quanzhou,City,China,1463000,24.9019622,118.5780407
Kharkiv,City,Ukraine,1461000,50.0019288,36.2480789
Hyderabad,City,Pakistan,1459000,25.3819329,68.3730431
Lomé,City,Togo,1452000,6.1338829,1.2208113
Córdoba,City,Argentina,1452000,-31.3980122,-64.1842404
Huainan,City,China,1451000,32.6319296,116.978035
Doha,City,Qatar,1450000,25.286556,51.5329679
Kuala Lumpur,City,Malaysia,1448000,3.1397969439352504,101.68869929106194
Maputo,City,Mozambique,1446000,-25.9533316,32.5872171
Kaduna,City,Nigeria,1442000,10.5219613,7.4380545
Ft.  Worth,City,United States of America,1440454,32.739977,-97.3400381
Gwangju,City,South Korea,1440000,35.1729115,126.9084883
Kawasaki,City,Japan,1437266,35.5299876,139.705002
Indianapolis,City,United States of America,1436000,39.7519343,-86.1719939
San Salvador,City,El Salvador,1433000,13.703280259193864,-89.2155758045276
Suining,City,China,1425000,30.5352792,105.5313874
Lyon,City,France,1423000,45.7719544,4.8280846
Karaj,City,Iran,1423000,35.8023046,50.968059
Kampala,City,Uganda,1420000,0.3186048,32.5813777
Tabriz,City,Iran,1413000,38.0882374,46.2993
The Hague,City,Netherlands,1406000,52.0800368,4.2699613
Davao,City,Philippines,1402000,7.1119628,125.6280496
Marseille,City,France,1400000,43.2919249,5.3730643
Meerut,City,India,1398000,29.0023579,77.6980553
Mianyang,City,China,1396000,31.46482758129281,104.68999287876282
Semarang,City,Indonesia,1396000,-6.9646716,110.4180736
Faridabad,City,India,1394000,28.4352792,77.3147208
Novosibirsk,City,Russia,1389000,55.031906,82.958096
Milwaukee,City,United States of America,1388000,43.029608354300805,-87.91667321462553
Makkah,City,Saudi Arabia,1385000,21.4319672,39.8180936
Dubai,City,United Arab Emirates,1379000,25.21491189371225,55.28694561354246
Auckland,City,New Zealand,1377200,-36.8480549,174.763027
Maanshan,City,China,1366302,31.672563922240595,118.4851484740624
Brazzaville,City,Congo,1355000,-4.2572399,15.2827436
Yiyang,City,China,1352000,28.6023564,112.3280862
Varanasi,City,India,1352000,25.3319359,82.9980936
Lubumbashi,City,Dem. Rep. Congo,1352000,-11.6780789,27.4780716
Orlando,City,United States of America,1350000,28.5119227,-81.3819762
Ciudad Juárez,City,Mexico,1343000,31.6923229,-106.4919939
Ghaziabad,City,India,1341000,28.6623269,77.4064452
Pretoria,City,South Africa,1338000,-25.7049747,28.2274832
Heze,City,China,1338000,35.2319259,115.4481025
Porto,City,Portugal,1337000,41.1519522,-8.6219471
Lusaka,City,Zambia,1328000,-15.4146984,28.2813817
Asansol,City,India,1328000,23.6852792,86.9813874
Changzhou,City,China,1327000,31.7819298,119.9680333
Mosul,City,Iraq,1316000,36.3469483,43.1430586
Yekaterinburg,City,Russia,1313000,56.8519758,60.5980138
Peshawar,City,Pakistan,1303000,34.006962,71.5330569
Jamshedpur,City,India,1300000,22.7894813,86.1955728
Mandalay,City,Myanmar,1300000,21.9719343,96.083083
Mbuji-Mayi,City,Dem. Rep. Congo,1295000,-6.1480806,23.59805
Madurai,City,India,1294000,9.9219721,78.1180814
Adana,City,Turkey,1293000,36.9969345,35.3180582
Sheffield,City,United Kingdom,1292900,53.3666767,-1.4999966
Jabalpur,City,India,1285000,23.1770028,79.9531115
San José,City,Costa Rica,1284000,9.930370727948475,-84.07881396964633
Panama City,City,Panama,1281000,8.969963,-79.534983
Nizhny Novgorod,City,Russia,1278000,56.3349531,43.9981485
Providence,City,United States of America,1277000,41.8230482,-71.4169256
Chifeng,City,China,1277000,42.2719613,118.9480439
Duisburg,City,Germany,1276757,51.4299732,6.7500166
Munich,City,Germany,1275000,48.1318879,11.5730476
Columbus,City,United States of America,1270000,39.9819202,-82.9919555
Huaiyin,City,China,1264000,33.58516490333014,119.06596724668917
Stockholm,City,Sweden,1264000,59.324127204007475,18.066300168534497
Makassar,City,Indonesia,1262000,-5.138013,119.4300817
Rajkot,City,India,1260000,22.3119652,70.7980631
West Palm Beach,City,United States of America,1250000,26.74502,-80.1236213
Dhanbad,City,India,1246000,23.8023394,86.4180399
Mudangiang,City,China,1244000,44.5769628,129.5880663
Geneva,City,Switzerland,1240000,46.2100075,6.140028
Shiraz,City,Iran,1240000,29.631906,52.5680647
Huzhou,City,China,1231000,30.8723212,120.0980513
Tianshui,City,China,1225000,34.6019644,105.9180382
Liupanshui,City,China,1221000,26.5963807,104.8313862
Düsseldorf,City,Germany,1220000,51.2203736,6.779989
Maoming,City,China,1217715,21.9204049,110.8700179
Seville,City,Spain,1212045,37.4050153,-5.9800074
Amritsar,City,India,1212000,31.6419384,74.8680472
Vila Velha,City,Brazil,1209091,3.2166628,-51.2166519
Vila Velha,City,Brazil,1209091,-20.338046307430577,-40.290232724874905
Almaty,City,Kazakhstan,1209000,43.3269357,76.9130903
Warangal,City,India,1203853,18.0099976,79.5799898
Rosario,City,Argentina,1203000,-32.9491837,-60.6682535
Allahabad,City,India,1201000,25.4569412,81.838061
Benin City,City,Nigeria,1190000,6.3424232,5.6180622
Jining,City,China,1186000,35.4023548,116.5480871
Maceió,City,Brazil,1186000,-9.6180496,-35.7319203
Sofia,City,Bulgaria,1185000,42.6852953,23.3147082
Abbottabad,City,Pakistan,1183647,34.1495034,73.1995007
Banghazi,City,Libya,1180000,32.1186793,20.0647773
Cilacap,City,Indonesia,1174964,-7.7188196,109.0154024
Raleigh,City,United States of America,1163515,35.77269601271186,-78.64703463664539
Prague,City,Czechia,1162000,50.0869665373215,14.422939486203868
Austin,City,United States of America,1161000,30.2688955,-97.7447242
Glasgow,City,United Kingdom,1160000,55.86226975799262,-4.239100528802634
Leshan,City,China,1157000,29.5690416,103.7314017
Ouagadougou,City,Burkina Faso,1149000,12.3722618,-1.5266696
Adelaide,City,Australia,1145000,-34.9330419,138.598059
Ottawa,City,Canada,1145000,45.4186427,-75.7019612
Shangrao,City,China,1144577,28.4703927,117.9699979
Torreón,City,Mexico,1144000,25.5719988,-103.4219487
Srinagar,City,India,1140000,34.069473874645354,74.82830910981222
Vijayawada,City,India,1137000,16.5219052,80.6280574
Samara,City,Russia,1137000,53.1969534,50.1493493
Omsk,City,Russia,1135000,54.9919343,73.3980077
Birmingham,City,United States of America,1128047,33.5300063,-86.8249952
Yulin,City,China,1127000,22.6319198,110.1480643
Nampo,City,North Korea,1127000,38.7688666,125.450488
Xianyang,City,China,1126000,34.3475015,108.7127763
Cagayan de Oro,City,Philippines,1121561,8.4508395,124.6852986
Can Tho,City,Vietnam,1121000,10.0499925,105.7700191
Barquisimeto,City,Venezuela,1116000,10.0519384,-69.3019125
Kazan,City,Russia,1115000,55.7518879,49.1243989
Helsinki,City,Finland,1115000,60.16380384948568,24.932456915043964
Aurangabad,City,India,1113000,19.861686210186296,75.32894831924871
Calgary,City,Canada,1110000,51.0849376,-114.0819441
Nezahualcoyotl,City,Mexico,1109363,19.4100155,-99.0299866
Zürich,City,Switzerland,1108000,47.3819337,8.5480643
Baoding,City,China,1107000,38.85834026064811,115.46889650311108
Zigong,City,China,1105000,29.4019459,104.7780561
Sharjah,City,United Arab Emirates,1103027,25.3713829,55.4064782
Yerevan,City,Armenia,1102000,40.1830966,44.5116055
Ankang,City,China,1100000,32.6799807,109.0200016
Mogadishu,City,Somalia,1100000,2.0686272,45.3647318
Huambo,City,Angola,1100000,-12.7480395,15.7580635
Tbilisi,City,Georgia,1100000,41.7269558,44.7888496
Ikare,City,Nigeria,1099931,7.5304305,5.7599996
Belgrade,City,Serbia,1099000,44.8205913,20.4660448
Bhilai,City,India,1097000,21.21126196187745,81.3722129528492
Jinhua,City,China,1092852,29.1200429,119.6499987
Chelyabinsk,City,Russia,1091000,55.1569371,61.4367223
Natal,City,Brazil,1088000,-5.7780773,-35.2419502
Dushanbe,City,Tajikistan,1086244,38.5600352,68.7738794
Mesa,City,United States of America,1085394,33.414795714987406,-111.82096696450179
København,City,Denmark,1085000,55.68051,12.5615399
Changwon,City,South Korea,1081499,35.2191022,128.583562
Memphis,City,United States of America,1081000,35.14470115515157,-90.02877702278532
Zhuzhou,City,China,1080000,27.8319384,113.1480879
Suwon,City,South Korea,1078000,37.259735,127.0089472
Vereeniging,City,South Africa,1074000,-26.6476562,27.9580423
Xiangyang,City,China,1069000,32.021941,112.1280985
Ulsan,City,South Korea,1061000,35.5486766,129.315008
Amman,City,Jordan,1060000,31.9519711,35.9313541
Zhucheng,City,China,1060000,35.9899595,119.3800927
Dublin,City,Ireland,1059000,53.34673124898314,-6.256979517281132
Edmonton,City,Canada,1058000,53.5519705,-113.5019278
Sholapur,City,India,1057000,17.6723518,75.8980618
Rostov,City,Russia,1052000,47.2365937,39.7107099
Dnipro,City,Ukraine,1050000,48.4819182,34.9980777
Xining,City,China,1048000,36.6219445,101.768059
Norfolk,City,United States of America,1047869,36.8499587,-76.2800057
Zhangjiakou,City,China,1046000,40.80525516933235,114.85202691011438
Gaziantep,City,Turkey,1044000,37.0769296,37.3830484
Lille,City,France,1044000,50.651915,3.0780622
Ranchi,City,India,1044000,23.3719522,85.3280805
Monrovia,City,Liberia,1041000,6.3145816,-10.7996604
São Luís,City,Brazil,1038000,-2.5140388,-44.2679367
Amsterdam,City,Netherlands,1031000,52.3519145,4.9146943
Jerusalem,City,Israel,1029300,31.7784078,35.2066259
